validador_diario_24hs,carr,carros_sales_force,territorio,empresa,modalidade,v,caixas_enviadas,caixas_retornadas,pct_caixas_retornadas,objetivo_de_retorno,situacao_dia,data,obs
BR0075849R46209,C470900,BR0075849,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-06,
BR0075512R46209,C470902,BR0075512,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-06,
BR0075841R46209,C470743,BR0075841,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-06,
BR0075785R46209,C470904,BR0075785,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-06,
BR0075542R46209,C470868,BR0075542,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-06,
BR0422998R46209,C470027,BR0422998,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-06,
BR0422999R46209,C470028,BR0422999,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-06,
BR0423000R46209,C470033,BR0423000,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-06,
BR0423001R46209,C470101,BR0423001,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-06,
BR0423002R46209,C470102,BR0423002,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-06,
BR0075882R46209,C470870,BR0075882,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-06,
BR0219552R46209,C470023,BR0219552,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-06,
BR0219546R46209,C470014,BR0219546,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-06,
BR0219599R46209,C470808,BR0219599,TD Curitiba,FADEL,M1,R,30.0,,,21.0,,2026-07-06,
BR0219600R46209,C470809,BR0219600,TD Curitiba,FADEL,M1,R,8.0,1,0.125,5.6,-4.6,2026-07-06,
BR0219601R46209,C470810,BR0219601,TD Curitiba,FADEL,M1,R,28.0,,,19.599999999999998,,2026-07-06,
BR0219603R46209,C470823,BR0219603,TD Curitiba,FADEL,M1,R,21.0,,,14.7,,2026-07-06,
BR0219605R46209,C470824,BR0219605,TD Curitiba,FADEL,M1,R,20.0,,,14.0,,2026-07-06,
BR0219606R46209,C470825,BR0219606,TD Curitiba,FADEL,M1,R,30.0,0,0.0,21.0,-21.0,2026-07-06,
BR0219609R46209,C470827,BR0219609,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-06,
BR0219610R46209,C470828,BR0219610,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-06,
BR0075562R46209,C470022,BR0075562,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-06,
BR0075684R46209,C470739,BR0075684,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-06,
BR0075652R46209,C470751,BR0075652,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-06,
BR0219608R46209,C470826,BR0219608,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-06,
BR0075807R46209,C470747,BR0075807,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-06,
BR0075798R46209,C470748,BR0075798,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-06,
BR0075774R46209,C470752,BR0075774,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-06,
BR0075712R46209,C470844,BR0075712,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-06,
BR0075595R46209,C470912,BR0075595,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-06,
BR0075783R46209,C470867,BR0075783,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-06,
BR0075507R46209,C470866,BR0075507,TD Curitiba,FADEL,Grocery,R,,,,0.0,,2026-07-06,
BR0075522R46209,C470906,BR0075522,TD Curitiba,FADEL,Grocery,R,63.0,,,44.099999999999994,,2026-07-06,
BR0075549R46209,C470911,BR0075549,TD Curitiba,FADEL,Grocery,R,22.0,0,0.0,15.399999999999999,-15.399999999999999,2026-07-06,
BR0075781R46209,C470903,BR0075781,TD Curitiba,FADEL,Grocery,R,69.0,,,48.3,,2026-07-06,
BR0075802R46209,C470746,BR0075802,TD Curitiba,FADEL,Grocery,R,13.0,,,9.1,,2026-07-06,
BR0442251R46209,C470801,BR0442251,TV CURITIBA 1,BAT,Prompt,R,,,,0.0,,2026-07-06,
BR0442252R46209,C470802,BR0442252,TV CURITIBA 1,BAT,Prompt,R,,,,0.0,,2026-07-06,
BR0442186R46209,C470924,BR0442186,TV CASCAVEL,BAT,Prompt,R,,,,0.0,,2026-07-06,
BR0442230R46209,C470907,BR0442230,TV CASCAVEL,BAT,Prompt,R,,,,0.0,,2026-07-06,
BR0442231R46209,C470908,BR0442231,TV CASCAVEL,BAT,Prompt,R,,,,0.0,,2026-07-06,
BR0442185R46209,C470923,BR0442185,TV CASCAVEL,BAT,Prompt,R,,,,0.0,,2026-07-06,
BR0442702R46209,C470803,BR0442702,TV CASCAVEL,BAT,Prompt,R,,,,0.0,,2026-07-06,
BR0347315R46209,C470841,BR0347315,TV CURITIBA 2,BAT,Prompt,R,,,,0.0,,2026-07-06,
BR0347316R46209,C470842,BR0347316,TV CURITIBA 2,BAT,Prompt,R,,,,0.0,,2026-07-06,
BR0442236R46209,C470976,BR0442236,TV CURITIBA 2,BAT,Prompt,R,,,,0.0,,2026-07-06,
BR0442237R46209,C470980,BR0442237,TV CURITIBA 2,BAT,Prompt,R,,,,0.0,,2026-07-06,
BR0442243R46209,C470999,BR0442243,TV CURITIBA 2,BAT,Prompt,R,,,,0.0,,2026-07-06,
BR0442232R46209,C470909,BR0442232,TV CURITIBA 2,BAT,Prompt,R,,,,0.0,,2026-07-06,
BR0442240R46209,C470977,BR0442240,TV CURITIBA 2,BAT,Prompt,R,,,,0.0,,2026-07-06,
BR0442242R46209,C470958,BR0442242,TV CURITIBA 2,BAT,Prompt,R,,,,0.0,,2026-07-06,
BR0442233R46209,C470910,BR0442233,TV CURITIBA 2,BAT,Prompt,R,,,,0.0,,2026-07-06,
BR0442234R46209,C470915,BR0442234,TV CURITIBA 2,BAT,Prompt,R,,,,0.0,,2026-07-06,
BR0442235R46209,C470920,BR0442235,TV CURITIBA 2,BAT,Prompt,R,,,,0.0,,2026-07-06,
BR0442245R46209,C470759,BR0442245,TV CURITIBA 2,BAT,Prompt,R,,,,0.0,,2026-07-06,
BR0442246R46209,C470760,BR0442246,TV CURITIBA 2,BAT,Prompt,R,,,,0.0,,2026-07-06,
BR0075485R46210,C470741,BR0075485,TD Curitiba,FADEL,M1,R,,,,0.0,0.0,2026-07-07,
BR0075488R46210,C470038,BR0075488,TD Curitiba,FADEL,M1,R,,,,0.0,0.0,2026-07-07,
BR0075494R46210,C470024,BR0075494,TD Curitiba,FADEL,M1,R,,,,0.0,0.0,2026-07-07,
BR0075517R46210,C470831,BR0075517,TD Curitiba,FADEL,M1,R,,,,0.0,0.0,2026-07-07,
BR0075564R46210,C470740,BR0075564,TD Curitiba,FADEL,M1,R,,,,0.0,0.0,2026-07-07,
BR0075595R46210,C470912,BR0075595,TD Curitiba,FADEL,M1,R,,,,0.0,0.0,2026-07-07,
BR0075598R46210,C470749,BR0075598,TD Curitiba,FADEL,M1,R,,,,0.0,0.0,2026-07-07,
BR0075727R46210,C470905,BR0075727,TD Curitiba,FADEL,M1,R,,,,0.0,0.0,2026-07-07,
BR0075816R46210,C470744,BR0075816,TD Curitiba,FADEL,M1A,R,,,,0.0,0.0,2026-07-07,
BR0075950R46210,C470901,BR0075950,TD Curitiba,FADEL,M1A,R,,,,0.0,0.0,2026-07-07,
BR0219554R46210,C470025,BR0219554,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-07,
BR0219562R46210,C470026,BR0219562,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-07,
BR0075813R46210,C470750,BR0075813,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-07,
BR0219544R46210,C470003,BR0219544,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-07,
BR0219545R46210,C470010,BR0219545,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-07,
BR0219549R46210,C470021,BR0219549,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-07,
BR0075703R46210,C470742,BR0075703,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-07,
BR0075865R46210,C470745,BR0075865,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-07,
BR0075849R46210,C470900,BR0075849,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-07,
BR0075512R46210,C470902,BR0075512,TD Curitiba,FADEL,M1,R,32.0,,,22.4,,2026-07-07,
BR0075841R46210,C470743,BR0075841,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-07,
BR0075785R46210,C470904,BR0075785,TD Curitiba,FADEL,M1,R,23.0,,,16.099999999999998,,2026-07-07,
BR0075542R46210,C470868,BR0075542,TD Curitiba,FADEL,M1,R,15.0,43,2.8666666666666667,10.5,32.5,2026-07-07,
BR0422998R46210,C470027,BR0422998,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-07,
BR0422999R46210,C470028,BR0422999,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-07,
BR0423000R46210,C470033,BR0423000,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-07,
BR0423001R46210,C470101,BR0423001,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-07,
BR0423002R46210,C470102,BR0423002,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-07,
BR0075882R46210,C470870,BR0075882,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-07,
BR0219552R46210,C470023,BR0219552,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-07,
BR0219546R46210,C470014,BR0219546,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-07,
BR0219599R46210,C470808,BR0219599,TD Curitiba,FADEL,M1,R,27.0,,,18.9,,2026-07-07,
BR0219600R46210,C470809,BR0219600,TD Curitiba,FADEL,M1,R,19.0,1,0.05263157894736842,13.299999999999999,-12.299999999999999,2026-07-07,
BR0219601R46210,C470810,BR0219601,TD Curitiba,FADEL,M1,R,30.0,0,0.0,21.0,-21.0,2026-07-07,
BR0219603R46210,C470823,BR0219603,TD Curitiba,FADEL,M1,R,24.0,0,0.0,16.799999999999997,-16.799999999999997,2026-07-07,
BR0219605R46210,C470824,BR0219605,TD Curitiba,FADEL,M1,R,34.0,0,0.0,23.799999999999997,-23.799999999999997,2026-07-07,
BR0219606R46210,C470825,BR0219606,TD Curitiba,FADEL,M1,R,28.0,2,0.07142857142857142,19.599999999999998,-17.599999999999998,2026-07-07,
BR0219609R46210,C470827,BR0219609,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-07,
BR0219610R46210,C470828,BR0219610,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-07,
BR0075562R46210,C470022,BR0075562,TD Curitiba,FADEL,M1,R,20.0,37,1.85,14.0,23.0,2026-07-07,
BR0075684R46210,C470739,BR0075684,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-07,
BR0075652R46210,C470751,BR0075652,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-07,
BR0219608R46210,C470826,BR0219608,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-07,
BR0075807R46210,C470747,BR0075807,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-07,
BR0075798R46210,C470748,BR0075798,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-07,
BR0075774R46210,C470752,BR0075774,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-07,
BR0075712R46210,C470844,BR0075712,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-07,
BR0075595R46210,C470912,BR0075595,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-07,
BR0075783R46210,C470867,BR0075783,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-07,
BR0075507R46210,C470866,BR0075507,TD Curitiba,FADEL,Grocery,R,20.0,,,14.0,,2026-07-07,
BR0075522R46210,C470906,BR0075522,TD Curitiba,FADEL,Grocery,R,102.0,,,71.39999999999999,,2026-07-07,
BR0075549R46210,C470911,BR0075549,TD Curitiba,FADEL,Grocery,R,25.0,0,0.0,17.5,-17.5,2026-07-07,
BR0075781R46210,C470903,BR0075781,TD Curitiba,FADEL,Grocery,R,10.0,,,7.0,,2026-07-07,
BR0075802R46210,C470746,BR0075802,TD Curitiba,FADEL,Grocery,R,14.0,0,0.0,9.799999999999999,-9.799999999999999,2026-07-07,
BR0442251R46210,C470801,BR0442251,TV CURITIBA 1,BAT,Prompt,R,,,,0.0,,2026-07-07,
BR0442252R46210,C470802,BR0442252,TV CURITIBA 1,BAT,Prompt,R,,,,0.0,,2026-07-07,
BR0442186R46210,C470924,BR0442186,TV CASCAVEL,BAT,Prompt,R,,,,0.0,,2026-07-07,
BR0442230R46210,C470907,BR0442230,TV CASCAVEL,BAT,Prompt,R,,,,0.0,,2026-07-07,
BR0442231R46210,C470908,BR0442231,TV CASCAVEL,BAT,Prompt,R,,,,0.0,,2026-07-07,
BR0442185R46210,C470923,BR0442185,TV CASCAVEL,BAT,Prompt,R,,,,0.0,,2026-07-07,
BR0442702R46210,C470803,BR0442702,TV CASCAVEL,BAT,Prompt,R,,,,0.0,,2026-07-07,
BR0347315R46210,C470841,BR0347315,TV CURITIBA 2,BAT,Prompt,R,,,,0.0,,2026-07-07,
BR0347316R46210,C470842,BR0347316,TV CURITIBA 2,BAT,Prompt,R,,,,0.0,,2026-07-07,
BR0442236R46210,C470976,BR0442236,TV CURITIBA 2,BAT,Prompt,R,,,,0.0,,2026-07-07,
BR0442237R46210,C470980,BR0442237,TV CURITIBA 2,BAT,Prompt,R,,,,0.0,,2026-07-07,
BR0442243R46210,C470999,BR0442243,TV CURITIBA 2,BAT,Prompt,R,,,,0.0,,2026-07-07,
BR0442232R46210,C470909,BR0442232,TV CURITIBA 2,BAT,Prompt,R,,,,0.0,,2026-07-07,
BR0442240R46210,C470977,BR0442240,TV CURITIBA 2,BAT,Prompt,R,,,,0.0,,2026-07-07,
BR0442242R46210,C470958,BR0442242,TV CURITIBA 2,BAT,Prompt,R,,,,0.0,,2026-07-07,
BR0442233R46210,C470910,BR0442233,TV CURITIBA 2,BAT,Prompt,R,,,,0.0,,2026-07-07,
BR0442234R46210,C470915,BR0442234,TV CURITIBA 2,BAT,Prompt,R,,,,0.0,,2026-07-07,
BR0442235R46210,C470920,BR0442235,TV CURITIBA 2,BAT,Prompt,R,,,,0.0,,2026-07-07,
BR0442245R46210,C470759,BR0442245,TV CURITIBA 2,BAT,Prompt,R,,,,0.0,,2026-07-07,
BR0442246R46210,C470760,BR0442246,TV CURITIBA 2,BAT,Prompt,R,,,,0.0,,2026-07-07,
BR0075485R46211,C470741,BR0075485,TD Curitiba,FADEL,M1,R,32.0,14,0.4375,22.4,-8.399999999999999,2026-07-08,
BR0075488R46211,C470038,BR0075488,TD Curitiba,FADEL,M1,R,17.0,0,0.0,11.899999999999999,-11.899999999999999,2026-07-08,
BR0075494R46211,C470024,BR0075494,TD Curitiba,FADEL,M1,R,14.0,0,0.0,9.799999999999999,-9.799999999999999,2026-07-08,
BR0075517R46211,C470831,BR0075517,TD Curitiba,FADEL,M1,R,25.0,7,0.28,17.5,-10.5,2026-07-08,
BR0075564R46211,C470740,BR0075564,TD Curitiba,FADEL,M1,R,35.0,,,24.5,,2026-07-08,
BR0075595R46211,C470912,BR0075595,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-08,
BR0075598R46211,C470749,BR0075598,TD Curitiba,FADEL,M1,R,24.0,0,0.0,16.799999999999997,-16.799999999999997,2026-07-08,
BR0075727R46211,C470905,BR0075727,TD Curitiba,FADEL,M1,R,12.0,,,8.399999999999999,,2026-07-08,
BR0075816R46211,C470744,BR0075816,TD Curitiba,FADEL,M1A,R,,,,0.0,,2026-07-08,
BR0075950R46211,C470901,BR0075950,TD Curitiba,FADEL,M1A,R,28.0,,,19.599999999999998,,2026-07-08,
BR0219554R46211,C470025,BR0219554,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-08,
BR0219562R46211,C470026,BR0219562,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-08,
BR0075813R46211,C470750,BR0075813,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-08,
BR0219544R46211,C470003,BR0219544,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-08,
BR0219545R46211,C470010,BR0219545,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-08,
BR0219549R46211,C470021,BR0219549,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-08,
BR0075703R46211,C470742,BR0075703,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-08,
BR0075865R46211,C470745,BR0075865,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-08,
BR0075849R46211,C470900,BR0075849,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-08,
BR0075512R46211,C470902,BR0075512,TD Curitiba,FADEL,M1,R,,0,,0.0,0.0,2026-07-08,
BR0075841R46211,C470743,BR0075841,TD Curitiba,FADEL,M1,R,29.0,,,20.299999999999997,,2026-07-08,
BR0075785R46211,C470904,BR0075785,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-08,
BR0075542R46211,C470868,BR0075542,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-08,
BR0422998R46211,C470027,BR0422998,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-08,
BR0422999R46211,C470028,BR0422999,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-08,
BR0423000R46211,C470033,BR0423000,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-08,
BR0423001R46211,C470101,BR0423001,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-08,
BR0423002R46211,C470102,BR0423002,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-08,
BR0075882R46211,C470870,BR0075882,TD Curitiba,FADEL,M1,R,16.0,38,2.375,11.2,26.8,2026-07-08,
BR0219552R46211,C470023,BR0219552,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-08,
BR0219546R46211,C470014,BR0219546,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-08,
BR0219599R46211,C470808,BR0219599,TD Curitiba,FADEL,M1,R,35.0,,,24.5,,2026-07-08,
BR0219600R46211,C470809,BR0219600,TD Curitiba,FADEL,M1,R,32.0,,,22.4,,2026-07-08,
BR0219601R46211,C470810,BR0219601,TD Curitiba,FADEL,M1,R,33.0,,,23.099999999999998,,2026-07-08,
BR0219603R46211,C470823,BR0219603,TD Curitiba,FADEL,M1,R,18.0,5,0.2777777777777778,12.6,-7.6,2026-07-08,
BR0219605R46211,C470824,BR0219605,TD Curitiba,FADEL,M1,R,28.0,0,0.0,19.599999999999998,-19.599999999999998,2026-07-08,
BR0219606R46211,C470825,BR0219606,TD Curitiba,FADEL,M1,R,38.0,,,26.599999999999998,,2026-07-08,
BR0219609R46211,C470827,BR0219609,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-08,
BR0219610R46211,C470828,BR0219610,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-08,
BR0075562R46211,C470022,BR0075562,TD Curitiba,FADEL,M1,R,22.0,,,15.399999999999999,,2026-07-08,
BR0075684R46211,C470739,BR0075684,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-08,
BR0075652R46211,C470751,BR0075652,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-08,
BR0219608R46211,C470826,BR0219608,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-08,
BR0075807R46211,C470747,BR0075807,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-08,
BR0075798R46211,C470748,BR0075798,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-08,
BR0075774R46211,C470752,BR0075774,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-08,
BR0075712R46211,C470844,BR0075712,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-08,
BR0075595R46211,C470912,BR0075595,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-08,
BR0075783R46211,C470867,BR0075783,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-08,
BR0075507R46211,C470866,BR0075507,TD Curitiba,FADEL,Grocery,R,,,,0.0,,2026-07-08,
BR0075522R46211,C470906,BR0075522,TD Curitiba,FADEL,Grocery,R,51.0,,,35.699999999999996,,2026-07-08,
BR0075549R46211,C470911,BR0075549,TD Curitiba,FADEL,Grocery,R,19.0,39,2.0526315789473686,13.299999999999999,25.700000000000003,2026-07-08,
BR0075781R46211,C470903,BR0075781,TD Curitiba,FADEL,Grocery,R,12.0,0,0.0,8.399999999999999,-8.399999999999999,2026-07-08,
BR0075802R46211,C470746,BR0075802,TD Curitiba,FADEL,Grocery,R,11.0,,,7.699999999999999,,2026-07-08,
BR0442251R46211,C470801,BR0442251,TV CURITIBA 1,BAT,Prompt,R,,,,0.0,,2026-07-08,
BR0442252R46211,C470802,BR0442252,TV CURITIBA 1,BAT,Prompt,R,,0,,0.0,0.0,2026-07-08,
BR0442186R46211,C470924,BR0442186,TV CASCAVEL,BAT,Prompt,R,,,,0.0,,2026-07-08,
BR0442230R46211,C470907,BR0442230,TV CASCAVEL,BAT,Prompt,R,,,,0.0,,2026-07-08,
BR0442231R46211,C470908,BR0442231,TV CASCAVEL,BAT,Prompt,R,,,,0.0,,2026-07-08,
BR0442185R46211,C470923,BR0442185,TV CASCAVEL,BAT,Prompt,R,,,,0.0,,2026-07-08,
BR0442702R46211,C470803,BR0442702,TV CASCAVEL,BAT,Prompt,R,,0,,0.0,0.0,2026-07-08,
BR0347315R46211,C470841,BR0347315,TV CURITIBA 2,BAT,Prompt,R,,,,0.0,,2026-07-08,
BR0347316R46211,C470842,BR0347316,TV CURITIBA 2,BAT,Prompt,R,,,,0.0,,2026-07-08,
BR0442236R46211,C470976,BR0442236,TV CURITIBA 2,BAT,Prompt,R,,,,0.0,,2026-07-08,
BR0442237R46211,C470980,BR0442237,TV CURITIBA 2,BAT,Prompt,R,,,,0.0,,2026-07-08,
BR0442243R46211,C470999,BR0442243,TV CURITIBA 2,BAT,Prompt,R,,,,0.0,,2026-07-08,
BR0442232R46211,C470909,BR0442232,TV CURITIBA 2,BAT,Prompt,R,,,,0.0,,2026-07-08,
BR0442240R46211,C470977,BR0442240,TV CURITIBA 2,BAT,Prompt,R,,,,0.0,,2026-07-08,
BR0442242R46211,C470958,BR0442242,TV CURITIBA 2,BAT,Prompt,R,,,,0.0,,2026-07-08,
BR0442233R46211,C470910,BR0442233,TV CURITIBA 2,BAT,Prompt,R,,,,0.0,,2026-07-08,
BR0442234R46211,C470915,BR0442234,TV CURITIBA 2,BAT,Prompt,R,,0,,0.0,0.0,2026-07-08,
BR0442235R46211,C470920,BR0442235,TV CURITIBA 2,BAT,Prompt,R,,0,,0.0,0.0,2026-07-08,
BR0442245R46211,C470759,BR0442245,TV CURITIBA 2,BAT,Prompt,R,,,,0.0,,2026-07-08,
BR0442246R46211,C470760,BR0442246,TV CURITIBA 2,BAT,Prompt,R,,,,0.0,,2026-07-08,
BR0075485R46212,C470741,BR0075485,TD Curitiba,FADEL,M1,R,40.0,,,28.0,,2026-07-09,
BR0075488R46212,C470038,BR0075488,TD Curitiba,FADEL,M1,R,37.0,0,0.0,25.9,-25.9,2026-07-09,
BR0075494R46212,C470024,BR0075494,TD Curitiba,FADEL,M1,R,33.0,,,23.099999999999998,,2026-07-09,
BR0075517R46212,C470831,BR0075517,TD Curitiba,FADEL,M1,R,16.0,,,11.2,,2026-07-09,
BR0075564R46212,C470740,BR0075564,TD Curitiba,FADEL,M1,R,32.0,,,22.4,,2026-07-09,
BR0075595R46212,C470912,BR0075595,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-09,
BR0075598R46212,C470749,BR0075598,TD Curitiba,FADEL,M1,R,28.0,,,19.599999999999998,,2026-07-09,
BR0075727R46212,C470905,BR0075727,TD Curitiba,FADEL,M1,R,18.0,,,12.6,,2026-07-09,
BR0075816R46212,C470744,BR0075816,TD Curitiba,FADEL,M1A,R,,,,0.0,,2026-07-09,
BR0075950R46212,C470901,BR0075950,TD Curitiba,FADEL,M1A,R,9.0,,,6.3,,2026-07-09,
BR0219554R46212,C470025,BR0219554,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-09,
BR0219562R46212,C470026,BR0219562,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-09,
BR0075813R46212,C470750,BR0075813,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-09,
BR0219544R46212,C470003,BR0219544,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-09,
BR0219545R46212,C470010,BR0219545,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-09,
BR0219549R46212,C470021,BR0219549,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-09,
BR0075703R46212,C470742,BR0075703,TD Curitiba,FADEL,M1,R,36.0,,,25.2,,2026-07-09,
BR0075865R46212,C470745,BR0075865,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-09,
BR0075849R46212,C470900,BR0075849,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-09,
BR0075512R46212,C470902,BR0075512,TD Curitiba,FADEL,M1,R,10.0,,,7.0,,2026-07-09,
BR0075841R46212,C470743,BR0075841,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-09,
BR0075785R46212,C470904,BR0075785,TD Curitiba,FADEL,M1,R,,0,,0.0,0.0,2026-07-09,
BR0075542R46212,C470868,BR0075542,TD Curitiba,FADEL,M1,R,19.0,,,13.299999999999999,,2026-07-09,
BR0422998R46212,C470027,BR0422998,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-09,
BR0422999R46212,C470028,BR0422999,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-09,
BR0423000R46212,C470033,BR0423000,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-09,
BR0423001R46212,C470101,BR0423001,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-09,
BR0423002R46212,C470102,BR0423002,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-09,
BR0075882R46212,C470870,BR0075882,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-09,
BR0219552R46212,C470023,BR0219552,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-09,
BR0219546R46212,C470014,BR0219546,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-09,
BR0219599R46212,C470808,BR0219599,TD Curitiba,FADEL,M1,R,36.0,,,25.2,,2026-07-09,
BR0219600R46212,C470809,BR0219600,TD Curitiba,FADEL,M1,R,37.0,,,25.9,,2026-07-09,
BR0219601R46212,C470810,BR0219601,TD Curitiba,FADEL,M1,R,24.0,,,16.799999999999997,,2026-07-09,
BR0219603R46212,C470823,BR0219603,TD Curitiba,FADEL,M1,R,29.0,0,0.0,20.299999999999997,-20.299999999999997,2026-07-09,
BR0219605R46212,C470824,BR0219605,TD Curitiba,FADEL,M1,R,16.0,,,11.2,,2026-07-09,
BR0219606R46212,C470825,BR0219606,TD Curitiba,FADEL,M1,R,26.0,,,18.2,,2026-07-09,
BR0219609R46212,C470827,BR0219609,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-09,
BR0219610R46212,C470828,BR0219610,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-09,
BR0075562R46212,C470022,BR0075562,TD Curitiba,FADEL,M1,R,21.0,,,14.7,,2026-07-09,
BR0075684R46212,C470739,BR0075684,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-09,
